System Integrations Developer,Devire,2019-01-28,2019-02-15," Naszym klientem jest firma produkcyjna, która posiada swoje zak³ady w Szwecji, Polsce, Wielkiej Brytanii i Chinach. Nasz Klient zajmuje siê obs³ug¹ szerokiej gamy produktów przemys³owych, takich jak produkcja z tworzyw sztucznych i metali czy..."
Frezer CNC - Programista CNC,Allcomp Polska sp. z o.o.,2019-01-28,2019-02-27," Do Twoich zadañ bêdzie nale¿eæ miêdzy innymi: obs³uga obrabiarek sterowanych numerycznie, w przypadku doœwiadczonych kandydatów równie¿ programowanie obrabiarek CNC, uzbrajanie oraz ustawianie narzêdzi na obrabiarce CNC, nadzór nad prawid³ow¹..."
DevOps Engineer - Local Center of Excellence,ING Tech Poland,2019-01-28,2019-02-27," Dodatkowo zapunktujesz za: Wykszta³cenie informatyczne lub doœwiadczenie w bran¿y IT Znajomoœæ podejœcia agile i metodyki scrum Znajomoœæ jêzyków skryptowych (np. bash, python, powershell) oraz umiejêtnoœæ automatyzowania dzia³añ..."
Automation Software Developer,BREMBO POLAND Sp. z o.o.,2019-01-28,2019-02-09," As an Automation Software Developer, you will develop solutions to exchange data between machines, sensors and remote servers. The domain of the projects ranges from engineering of automation solutions to innovative industry 4.0 and Internet of..."
PHP Developer,I-Systems Sp. z o.o.,2019-01-28,2019-02-27," … i chcesz: projektowaæ i tworzyæ nowe funkcjonalnoœci platform e-commerce, rozwijaæ i utrzymywaæ platformê CI (gitlab, kubernetes, docker), utrzymywaæ platformy obs³uguj¹ce du¿y ruch, wprowadzaæ nowe technologie do naszych rozwi¹zañ... ..."
Programista iOS/Swift,Kamsoft S.A ,2019-01-28,2019-02-14," Profil kandydata: Doœwiadczenie zawodowe na stanowisku programisty aplikacji mobilnych, Dobra znajomoœæ jêzyka Swift, Dobra znajomoœæ studia programistycznego XCode, Znajomoœæ technologii JSON, Umiejêtnoœæ wykorzystania us³ug REST, Umiejêtnoœæ..."
M³odszy Programista – Safety Electronics,ZF Group,2019-01-28,2019-02-07," Centrum In¿ynieryjne ZF w Czêstochowie szuka ambitnych, kreatywnych i szybko ucz¹cych siê osób do zespo³u oprogramowania elektronicznych systemów bezpieczeñstwa w samochodach. Twoje umiejêtnoœci bêd¹ rosn¹æ pod okiem naszych doœwiadczonych..."
DevOps Engineer for Cloud,IBM Client Innovation Center,2019-01-28,2019-02-07, We are looking for candidates for the DevOps Engineer in Cloud to join our Cloud team. As the DevOps Engineer you will be responsible for creating and maintaining private cloud automation for enterprise customers. Day to day activities Creating...
Programista,Gabos Software,2019-01-28,2019-02-27," Na stanowisko programisty poszukujemy: absolwentów wy¿szych uczelni o profilu informatycznym oraz studentów ostatnich lat studiów, osób otwartych na zdobywanie nowej wiedzy w dziedzinie wytwarzania oprogramowania oraz dzia³ania rynku medycznego,..."
Programista iOS,EUVIC Sp. z o.o,2019-01-28,2019-02-27," Opis Stanowiska: Implementacja nowych funkcjonalnoœci Testy jednostkowe Projekt bazuje na: RXSwift, Swift 4.2 , TDD, Agile (scrum), Jira ..."
Specjalista SAP BO,Billennium sp. z o.o.,2019-01-28,2019-02-14," Zadania: Proponowanie i wprowadzanie rozwi¹zañ/najlepszych praktyk dla wsparcia projektów (architektura, rozwi¹zywanie problemów) Analiza zaobserwowanych lub zg³oszonych anomalii na platformie SAP BO Rozwi¹zywanie incydentów dotycz¹cych platformy..."
Senior Front-end Developer,STS Zak³ady Bukmacherskie,2019-01-28,2019-02-06," Obowi¹zki: Aktywny udzia³ w rozwoju oprogramowania dla naszej firmy, Praca nad architektur¹ systemu oraz wsparcie zespo³u developerskiego, Udzia³ w procesie projektowania aplikacji, dbanie o wizualn¹ stronê naszych produktów, Rozwi¹zywanie..."
Programista C/C++,CodeConcept sp z o.o.,2019-01-27,2019-02-13," Obowi¹zki: Udzia³ w pe³nym cyklu tworzenia aplikacji desktop oraz web: projekt systemu; implementacja; weryfikacja - testowanie; wdro¿enie systemu; optymalizacja, utrzymanie. ..."
Senior DevOps Engineer (Storage),ING Tech Poland,2019-01-27,2019-02-08, Dodatkowo zapunktujesz za: Znajomoœæ C# Znajomoœæ SQL Znajomoœæ zagadnieñ dot. wirtualizacji Znajomoœæ object storage i integracji rozwi¹zania z chmur¹ publiczn¹ ...
Software Project Engineer,Rockwell Automation Sp. z o. o.,2019-01-27,2019-02-04," The Motion Business is a fast-growing part of Rockwell Automation that develops motion control products such as servo drives, servo motors, and independent cart systems for use in industrial applications. The most common market for these products..."
Programista robotów przemys³owych,Rolling-Robotics Sp. z o.o. Sp.K.,2019-01-27,2019-02-13," Zadania: Programowanie robotów przemys³owych KUKA, FANUC, ABB, COMAU Udzia³ w procesie programowania zrobotyzowanych linii produkcyjnych (Standardy VW, BMW, Mercedes, Jaguar,…) Nadzór nad procesem produkcyjnym i optymalizacjê jakoœci wyrobu..."
In¿ynier DevOps/Solution Architect,ING Tech Poland,2019-01-27,2019-02-08, Dodatkowo zapunktujesz za: Znajomoœæ takich technologii jak: REST / SOAP API Desired State Configuration CI/CD (Jenkins/Gitlab lub TFS/Git) Team Foundation Server Automation Anywhere PostgreSQL ITIL np. Service-Now Citrix Subversion Znajomoœæ...
Junior DevOps Engineer - Security Analyst,ING Tech Poland,2019-01-27,2019-02-08, Dodatkowo zapunktujesz za: Doœwiadczenie w administrowaniu systemami operacyjnymi lub bazami danych. Doœwiadczenie w pracy z narzêdziem SIEM ...
Programista C/C++,ASTEK Polska,2019-01-27,2019-02-06, Na tym stanowisku bêdziesz odpowiedzialna/-y za: rozwój i utrzymanie rozwi¹zañ obs³ugê zg³oszeñ serwisowych i SLA optymalizacjê procesów zarz¹dzanie kodami Ÿród³owymi prowadzenie dokumentacji technicznej udzia³ w testach i wdro¿eniu ...
Programista PLC,Rolling-Robotics Sp. z o.o. Sp.K.,2019-01-27,2019-02-13," Opis stanowiska: Programowanie sterowników przemys³owych SIEMENS, ALLEN BRADLEY, PHOENIX CONTACT Udzia³ w procesie programowania zautomatyzowanych linii produkcyjnych (Standardy VW, AUDI, BMW, Mercedes, Jaguar) Nadzór nad procesem produkcyjnym..."
Programista Front-End Angular,CodeConcept sp z o.o.,2019-01-27,2019-02-13," Obowi¹zki: Udzia³ w pe³nym cyklu tworzenia aplikacji Webowych: projekt systemu; implementacja; weryfikacja - testowanie; optymalizacja, utrzymanie. ..."
Senior Web Developer,ROCKSOFT Piotr Czy¿,2019-01-27,2019-02-22," Praca w œrodowisku miêdzynarodowym gdzie jêzyk gra istotn¹ rolê - z tego tytu³u dalsza czêœæ og³oszenia w jêzyku angielskim... As senior developer you will have an influential role, responsible for developing the company’s Ecommerce ecosystem by..."
DevOps Engineer,Fireup.pro,2019-01-27,2019-02-07, wspieranie zespo³ów developerskich w przygotowywaniu rozwi¹zañ infrastrukturalnych wybór technologii i narzêdzi wspieraj¹cych rozwijane przez nas oprogramowanie rozwój istniej¹cej infrastruktury serwerowej i sieciowej administracja i utrzymanie...
Front-End Developer,Fireup.pro,2019-01-27,2019-02-07," rozwijanie nowoczesnych komponentów front-end’owych dla systemu w architekturze mikrous³ug budowanie interfejsu u¿ytkownika w oparciu o aktualne trendy (responsive, reactive) oraz nowoczesne biblioteki i technologie tworzenie oprogramowania..."
